product_id,product_name,brand_name,category,crops,target_problems,active_ingredient,description,pack_size,price,mrp,stock,dosage,application_method,waiting_period_days,organic_certified,status
PROD-CORAGEN-60ML,Coragen Insecticide 60ml FMC (कोराजन),FMC,Insecticide,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Gram","Bollworm, Spodoptera, Stem Borer, Fruit Borer, Helicoverpa, बोंडअळी, लष्करी अळी, खोडकिडा, घाटे अळी",Chlorantraniliprole 18.5% SC,"FMC Coragen provides industry-leading, long-lasting systemic protection against chewing insect pests and all types of caterpillars.",60 ml,390.0,450.0,9,60 ml per acre (0.4 ml/L water),Foliar Spray,7,False,active
PROD-CORAGEN-150ML,Coragen Insecticide 150ml FMC (कोराजन),FMC,Insecticide,"Cotton, Soybean, Sugarcane, Tomato, Chilli, Gram","Bollworm, Spodoptera, Stem Borer, Fruit Borer, Helicoverpa, बोंडअळी, लष्करी अळी, खोडकिडा",Chlorantraniliprole 18.5% SC,Economical 150ml pack of FMC Coragen covering 2.5 acres against bollworms and chewing pests.,150 ml,990.0,1100.0,4,60 ml per acre (0.4 ml/L water),Foliar Spray,7,False,active
PROD-CORAGEN-30ML,Coragen Insecticide 30ml FMC (कोराजन),FMC,Insecticide,"Cotton, Soybean, Tomato, Chilli, Vegetables","Bollworm, Spodoptera, Fruit Borer, बोंडअळी, लष्करी अळी, फळ पोखरणाऱ्या अळ्या",Chlorantraniliprole 18.5% SC,Compact 30ml Coragen pack suitable for small farm plots and kitchen gardens.,30 ml,230.0,260.0,11,0.4 ml per liter of water,Foliar Spray,7,False,active
PROD-SIMODIS-80ML,Simodis Insecticide 80ml Syngenta (सिमोडिस),Syngenta,Insecticide,"Chilli, Cotton, Tomato, Brinjal, Soybean","Thrips, Whitefly, Mites, Fruit Borer, Helicoverpa, चुरडा-मुरडा, फुलकिडे, पांढरी माशी, लाल कोळी",Isocycloseram 18.1% w/w SC (PLINAZOLIN technology),"Revolutionary PLINAZOLIN technology insecticide delivering unprecedented knockdown of resistant thrips, mites, and caterpillars.",80 ml,700.0,790.0,48,80-100 ml per acre (0.5 ml/L water),Foliar Spray,5,False,active
PROD-SIMODIS-120ML,Simodis Insecticide 120ml Syngenta (सिमोडिस),Syngenta,Insecticide,"Chilli, Cotton, Tomato, Brinjal, Soybean","Thrips, Whitefly, Mites, Fruit Borer, चुरडा-मुरडा, फुलकिडे, पांढरी माशी",Isocycloseram 18.1% w/w SC,Syngenta Simodis 120ml pack for comprehensive thrips and caterpillar defense in vegetables and cotton.,120 ml,1020.0,1150.0,44,80-100 ml per acre (0.5 ml/L water),Foliar Spray,5,False,active
PROD-SIMODIS-240ML,Simodis Insecticide 240ml Syngenta (सिमोडिस),Syngenta,Insecticide,"Chilli, Cotton, Tomato, Brinjal, Soybean","Thrips, Whitefly, Mites, Fruit Borer, चुरडा-मुरडा, फुलकिडे",Isocycloseram 18.1% w/w SC,240ml economy pack of Simodis for multi-acre foliar application against hard-to-kill sucking pests and caterpillars.,240 ml,1960.0,2200.0,3,80-100 ml per acre,Foliar Spray,5,False,active
PROD-EXPONUS-17ML,Exponus Insecticide 17ml BASF (एक्सपोनस),BASF,Insecticide,"Chilli, Cotton, Soybean, Tomato, Brinjal, Gram","Thrips, Fall Armyworm, Bollworm, Semilooper, चुरडा-मुरडा, थ्रिप्स, लष्करी अळी, बोंडअळी",Broflanilide 300 g/L SC,"BASF Exponus with Broflanilide molecule controls tough, resistant sucking pests and chewing caterpillars in just hours.",17 ml,830.0,920.0,31,17-20 ml per acre (0.1 ml/L water),Foliar Spray,3,False,active
PROD-EXPONUS-34ML,Exponus Insecticide 34ml BASF (एक्सपोनस),BASF,Insecticide,"Chilli, Cotton, Soybean, Tomato, Brinjal, Gram","Thrips, Fall Armyworm, Bollworm, Semilooper, चुरडा-मुरडा, थ्रिप्स, लष्करी अळी",Broflanilide 300 g/L SC,Larger 34ml pack of BASF Exponus for high-pressure pest control across 2 acres.,34 ml,1650.0,1800.0,5,17 ml per acre,Foliar Spray,3,False,active
PROD-GRACIA-160ML,Gracia Insecticide 160ml Godrej (ग्रॅशिया),Godrej Agrovet,Insecticide,"Chilli, Brinjal, Cabbage, Cotton, Soybean","Thrips, Fruit & Shoot Borer, Diamondback Moth, चुरडा-मुरडा, फुलकिडे, शेंडा व फळ पोखरणारी अळी",Fluxametamide 10% EC,Godrej Gracia gives excellent translaminar control of both chewing caterpillars and sucking thrips simultaneously.,160 ml,1870.0,2050.0,2,160 ml per acre (1 ml/L water),Foliar Spray,3,False,active
PROD-SHINVA-40ML,Shinva Insecticide 40ml IIL (शिनवा),Insecticides India (IIL),Insecticide,"Chilli, Brinjal, Cabbage, Tomato, Cotton","Thrips, Caterpillars, Diamondback Moth, चुरडा-मुरडा, फुलकिडे, अळी",Fluxametamide 10% EC,IIL Shinva offers rapid translaminar action against thrips and foliage feeding caterpillars in vegetable crops.,40 ml,540.0,600.0,49,40-80 ml per acre (0.5-1 ml/L water),Foliar Spray,3,False,active
